Prefix;Analytics_Avg;Sim_Avg;PDI_Avg;Result_Ratio;Total_Number_Of_Results;Total_Number_Of_Runs
P4-SN2-LS268-GS1073-I10-AN2; 86.34; 25.19; 10.51; 1.00; 7; 7
P8-SN4-LS268-GS2147-I10-AN4; 168.12; 26.59; 14.37; 1.00; 7; 7
P16-SN8-LS268-GS4294-I10-AN8; 336.59; 24.90; 19.22; 1.00; 7; 7
P4-SN2-LS536-GS2147-I10-AN2; 180.81; 50.29; 18.75; 1.00; 7; 7
P8-SN4-LS536-GS4294-I10-AN4; 0; 0; 0; 0; 0; 7
P16-SN8-LS536-GS8589-I10-AN8; 0; 0; 0; 0; 0; 7
P128-SN4-LS1-GS134-I10-AN2; 246.10; 14.90; 16.17; 1.00; 16; 16
P128-SN4-LS134-GS17179-I10-AN2; 0; 0; 0; 0; 0; 18
