Prefix;Analytics_Avg;Sim_Avg;PDI_Avg;Result_Ratio;Total_Number_Of_Results;Total_Number_Of_Runs
P4-SN2-LS268-GS1073-I20-AN2; 54.80; 47.63; 11.27; 1.00; 6; 6
P8-SN4-LS268-GS2147-I20-AN4; 56.43; 47.35; 11.36; 1.00; 6; 6
P16-SN8-LS268-GS4294-I20-AN8; 57.98; 49.07; 11.53; .83; 5; 6
P4-SN2-LS536-GS2147-I20-AN2; 105.90; 92.02; 20.14; 1.00; 6; 6
P8-SN4-LS536-GS4294-I20-AN4; 108.01; 93.04; 20.09; 1.00; 6; 6
P16-SN8-LS536-GS8589-I20-AN8; 111.37; 94.65; 20.17; 1.00; 6; 6
P128-SN4-LS1-GS134-I20-AN2; 14.29; 4.42; 6.40; 1.00; 12; 12
P128-SN4-LS134-GS17179-I20-AN2; 0; 0; 0; 0; 0; 14
