Prefix;Analytics_Avg;Sim_Avg;PDI_Avg;Result_Ratio;Total_Number_Of_Results;Total_Number_Of_Runs
P4-SN2-LS268-GS1073-I10-AN2; 64.76; 25.28; 9.80; 1.00; 6; 6
P8-SN4-LS268-GS2147-I10-AN4; 122.71; 27.72; 8.64; 1.00; 6; 6
P16-SN8-LS268-GS4294-I10-AN8; 231.63; 29.04; 10.39; 1.00; 6; 6
P4-SN2-LS536-GS2147-I10-AN2; 141.71; 49.51; 17.81; 1.00; 6; 6
P8-SN4-LS536-GS4294-I10-AN4; 372.13; 51.90; 13.79; 1.00; 6; 6
P16-SN8-LS536-GS8589-I10-AN8; 506.70; 54.00; 15.71; 1.00; 6; 6
P128-SN4-LS1-GS134-I10-AN2; 33.67; 3.21; 4.20; 1.00; 16; 16
P128-SN4-LS134-GS17179-I10-AN2; 965.05; 23.71; 228.53; .61; 11; 18
