Prefix;Analytics_Avg;Sim_Avg;PDI_Avg;Result_Ratio;Total_Number_Of_Results;Total_Number_Of_Runs
P4-SN2-LS268-GS1073-I10-AN2; 25.35; 23.30; 4.93; 1.00; 6; 6
P8-SN4-LS268-GS2147-I10-AN4; 27.57; 23.39; 5.29; 1.00; 6; 6
P16-SN8-LS268-GS4294-I10-AN8; 31.26; 24.15; 5.31; 1.00; 6; 6
P4-SN2-LS536-GS2147-I10-AN2; 50.62; 46.13; 8.87; 1.00; 6; 6
P8-SN4-LS536-GS4294-I10-AN4; 156.32; 47.73; 9.50; 1.00; 6; 6
P16-SN8-LS536-GS8589-I10-AN8; 63.17; 47.46; 9.23; 1.00; 6; 6
P128-SN4-LS1-GS134-I10-AN2; 460.23; 2.79; 3.71; 1.00; 16; 16
P128-SN4-LS134-GS17179-I10-AN2; 101.58; 17.78; 12.21; 1.00; 18; 18
